segmentnr	original	analyzed
MBtantrabhidanaHK-341	ūkāraḥ - ū|47|15	ūkāraḥ 
MBtantrabhidanaHK-342	ūrdhvaṃ - e|36|6	ūrdhvam 
MBtantrabhidanaHK-343	ūrdhvakeśī - e|9|2	ūrdhva keśī 
MBtantrabhidanaHK-344	e|27|3	Ro
MBtantrabhidanaHK-345	(ūrdhvacāmī - na|17|20)	ūrdhva cāmī 
MBtantrabhidanaHK-346	ūrdhvajānuḥ - (ta|15|19)	ūrdhva jānuḥ 
MBtantrabhidanaHK-347	ta|50|7	Ro
MBtantrabhidanaHK-348	ūrdhvadantaḥ - e|48|5	ūrdhva dantaḥ 
MBtantrabhidanaHK-349	o|9|16	Ro
MBtantrabhidanaHK-350	o|55|1	Ro
MBtantrabhidanaHK-351	ūrdhvadantālijaḥ - o|42|7	ūrdhva danta ali jaḥ 
MBtantrabhidanaHK-352	ūrdhvamukhī - ṝ|8|2	ūrdhva mukhī 
MBtantrabhidanaHK-353	au|10|5	Ro
MBtantrabhidanaHK-354	ūrdhvamūrtiḥ - ṝ|47|20	ūrdhva mūrtiḥ 
MBtantrabhidanaHK-355	ūrdhvavāsī - na|17|4	ūrdhva vāsī 
MBtantrabhidanaHK-356	na|50|16	Ro
MBtantrabhidanaHK-357	ūrdhvahastaḥ - e|42|3	ūrdhva hastaḥ 
MBtantrabhidanaHK-358	ūrdhvādhāraḥ - e|54|14	ūrdhva ādhāraḥ 
MBtantrabhidanaHK-359	ūrdhvāsyaḥ - o|48|9	ūrdhva āsyaḥ 
MBtantrabhidanaHK-360	(ūrdhvauṣṭhaḥ - e|36|22)	ūrdhva oṣṭhaḥ 
MBtantrabhidanaHK-361	ṛṅmūrtiḥ - ṛ|41|16	ṛc mūrtiḥ 
MBtantrabhidanaHK-362	ṛddhiḥ - kha|2|12	ṛddhiḥ 
MBtantrabhidanaHK-363	ṛddhiḥ - kha|11|10	ṛddhiḥ 
MBtantrabhidanaHK-364	kha|36|20	Ro
MBtantrabhidanaHK-365	ḍha|15|7	Ro
MBtantrabhidanaHK-366	|| e ||	e 
MBtantrabhidanaHK-367	ekajaḥ - ā|6|3	ekajaḥ 
MBtantrabhidanaHK-368	ekadantaḥ - o|2|3	eka dantaḥ 
MBtantrabhidanaHK-369	ekadantāhvayaḥ - ṛ|8|4	        
MBtantrabhidanaHK-370	ekanetraḥ - |12|12	eka netraḥ 
MBtantrabhidanaHK-371	cha|2|17	Ro
MBtantrabhidanaHK-372	(cha|13|20)	Ro
MBtantrabhidanaHK-373	cha|37|9	Ro
