segmentnr	original	analyzed
MBtantrabhidanaHK-5150	"1	vidyujjihvā kālavaktrā mahākālairalaṅkṛtā || oṃ ||"	vidyujjihvā kālavaktrā mahākālaiḥ alaṅkṛtā om 
MBtantrabhidanaHK-5151	viṣabījaṃ śrutimukhaṃ dhruvaṃ hālāhalaṃ priye (ca tat) ||	viṣabījam śrutimukham dhruvam hālāhalam priye ca tat 
MBtantrabhidanaHK-5152	caṇḍīśaḥ kṣatajārūḍho dhūmrabhairavyalaṅkṛtaḥ |	               
MBtantrabhidanaHK-5153	"4	nādabindusamāyukto bījaṃ viṣṇupriyā matam || śrī& ||"	              
MBtantrabhidanaHK-5154	kṣatajastho vyomavaktro dhūmrabhairavyalaṅkṛtaḥ |	              
MBtantrabhidanaHK-5155	nādabindusamāyukto bījaṃ prāthamikaṃ [māyā lajjāhvayamiti pāṭhāntaram] smṛtam || hrī& ||	nādabindu samāyuktaḥ bījam prāthamikam māyā lajjā āhvayam iti pāṭha antaram smṛtam hrī 
MBtantrabhidanaHK-5156	krodhīśaḥ kṣatajārūḍho dhūmrabhairavyalaṅkṛtaḥ |	              
MBtantrabhidanaHK-5157	"8	nādabindusamāyuktaḥ pitṛbhūvāsinī smṛtaḥ || krī ||"	             
MBtantrabhidanaHK-5158	vidārīyuktaṃ vyomāsyaṃ rudrarākiṇyalaṅkṛtam |	             
MBtantrabhidanaHK-5159	kūrcaṃ kālaṃ krodhabījaṃ jānīhi vīravandite || hū& ||	kūrcam kālam krodhabījam jānīhi vīra vandite   
MBtantrabhidanaHK-5160	nādabindusamāyuktāṃ samādāyograbhairavīm |	nādabindu samāyuktām samādāya ugrabhairavīm 
MBtantrabhidanaHK-5161	"12	bhautikaṃ vāgbhavaṃ bījaṃ viddhi sārasvataṃ priye | ai ||"	bhautikam vāc bhavam bījam viddhi sārasvatam priye 
MBtantrabhidanaHK-5162	pralayāgnirmahājvālaḥ khyātaścāstramanuḥ priye || phaṭ ||	pralaya agniḥ mahājvālaḥ khyātaḥ ca astra manuḥ priye phaṭ 
MBtantrabhidanaHK-5163	krodhīśaraktabhīmākṣyo'ṅkuśo'yaṃ nādabindumān || kro& ||	               
MBtantrabhidanaHK-5164	dviṭhaḥ śiro vahnijāyā svahā jvalanavallabhā || svāhā ||	dviṭhaḥ śiraḥ vahnijāyā svahā jvalana vallabhā svāhā 
MBtantrabhidanaHK-5165	"16	krodhīśo balabhid dhūmrabhairavīnādabindubhiḥ |"	            
MBtantrabhidanaHK-5166	trimūrtirmanmathaḥ kāmaḥ bījaṃ tryailokyamohanam || klī& ||	trimūrtiḥ manmathaḥ kāmaḥ bījam tryailokya mohanam klī 
MBtantrabhidanaHK-5167	vyomāsyaḥ kālarātryāḍhyo varma bindīndusaṃyutaḥ |	               
MBtantrabhidanaHK-5168	kathitaṃ kavacaṃ bījaṃ kulācārapriye'male || hu& ||	kathitam kavacam bījam kula ācāra priya imale hu 
MBtantrabhidanaHK-5169	"20	vyomāsyaḥ kṣatajārūḍho ḍākinīnādabindubhiḥ |"	             
MBtantrabhidanaHK-5170	jyotirmantraḥ samākhyāto mahāpātakanāśanaḥ || hrau& ||	           
MBtantrabhidanaHK-5171	p. 29)	p 
MBtantrabhidanaHK-5172	"1	saṃyukto dhūmrabhairavyā raktastho balibhojanaḥ |"	saṃyuktaḥ dhūmrabhairavyā rakta sthaḥ balibhojanaḥ 
MBtantrabhidanaHK-5173	nādabindusamāyuktaḥ kiṅkiṇībījamuttamam || drī& ||	nādabindu samāyuktaḥ kiṅkiṇī bījam uttamam drī 
MBtantrabhidanaHK-5174	bahurūpiṇamādāya kṣatajokṣitasaṃsthitam |	bahurūpiṇam ādāya kṣatajokṣita saṃsthitam 
MBtantrabhidanaHK-5175	"4	vidāryāliṅgitaṃ tadvad viśeṣārtho mahāmanuḥ || bhrū& ||"	vidārī āliṅgitam tadvat viśeṣa arthaḥ mahā manuḥ 
MBtantrabhidanaHK-5176	dhūmadhvajādhaḥ kālāgniḥ sordhvakeśīndubindubhiḥ |	                   
MBtantrabhidanaHK-5177	yugāntakārakaṃ bījaṃ bhairaveṇa prakāśitam || sphe& ||	           
MBtantrabhidanaHK-5178	saṃhāriṇyāśritañcordhvakeśinī tu kapardinam |	saṃhāriṇī āśrita ca ūrdhvakeśinī tu kapardinam 
MBtantrabhidanaHK-5179	"8	nādabindusamāyuktaṃ bījaṃ vaitālikaṃ smṛtam || pḷ-e& ||"	            
MBtantrabhidanaHK-5180	sanādabinduṃ krodhīśaṃ gṛhya saṃhāriṇīsthitam |	     gṛhya       
MBtantrabhidanaHK-5181	kampinībījamityukt'm dviṭhenoktā manohari || kliṛī& svāhā ||	kampinī bījam iti uktam dviṭhena uktā manohari kliṛī svāhā 
MBtantrabhidanaHK-5182	kapardinaṃ samādāya kṣatajokṣitasaṃsthitam |	kapardinam samādāya kṣatajokṣita saṃsthitam 
MBtantrabhidanaHK-5183	"12	saṃyuktaṃ dhūmrabhairavyā dhvāṅkṣo'yaṃ nādabindumān || prī& ||"	saṃyuktam dhūmrabhairavyā dhvāṅkṣaḥ yam nādabindumān 
MBtantrabhidanaHK-5184	kapālidvayamādāya mahākālena maṇḍitam |	kapāli dvayam ādāya mahākālena maṇḍitam 
MBtantrabhidanaHK-5185	samāsanamiti proktaṃ caṇḍikāḍhyaṃ manoharam || ṭhaṭhaṃ ṭhaḥ ṭhaḥ ||	samāsanam iti proktam caṇḍikā āḍhyam manoharam ṭha ṭhaṃ ṭhaḥ ṭhaḥ 
MBtantrabhidanaHK-5186	pralayāgnisthito dhūmadhajo guhye sabindumān |	pralaya agni sthitaḥ dhūma dhajaḥ guhye sa bindumān 
MBtantrabhidanaHK-5187	"16	saṃyukto dhūmrabhairavyā smṛtā phetkāriṇī priye || sphīṃ ||"	saṃyuktaḥ dhūmrabhairavyā smṛtā phetkāriṇī priye sphīṃ 
MBtantrabhidanaHK-5188	kṣatajastho vyomavaktro bindukhaṇḍendvalaṅkṛtaḥ |	                
MBtantrabhidanaHK-5189	khadyotamiti vikhyāt'm grāsinī kālarātriyuk || hrū& ||	khadyotam iti grāsinī kālarātri yuj 
MBtantrabhidanaHK-5190	kṣatajasthaṃ vyomavaktraṃ nādabindusamanvitam |	             
MBtantrabhidanaHK-5191	"20	vidārībhūṣaṇaṃ kṛtvā bījaṃ vaivasvatātma(nta)kam || hrū& ||"	vidārī bhūṣaṇam kṛtvā bījam vaivasvata ātmantakam hrū 
MBtantrabhidanaHK-5192	vyomavaktro dhūmadhvajo vāraṇaḥ pralayāgnikaḥ |	          
MBtantrabhidanaHK-5193	ūrdhvakeśī kṣatārūḍhā binducandrārddhasaṃgatā ||	ūrdhvakeśī kṣata ārūḍhā bindu candra arddha saṃgatā 
MBtantrabhidanaHK-5194	p. 30)	p 
MBtantrabhidanaHK-5195	"1	bījamāndandabhairavyā mūkānandakaraṃ param || hskhphre& ||"	                       
MBtantrabhidanaHK-5196	a-kāre bhīṣaṇā kīrtirvidyujjihveti kīrtitā |	akāre bhīṣaṇā kīrtiḥ vidyujjihvā iti kīrtitā 
MBtantrabhidanaHK-5197	ā-kāre tāmasī kālavajrī(jihvā) ca kālabhairavī ||	ākāre tāmasī kālavajrī jihvā ca kālabhairavī 
MBtantrabhidanaHK-5198	"4	i-kāre garjinī caṇḍā vijñeyā rudrabhairavī |"	            
MBtantrabhidanaHK-5199	ī-kāre śūlinī khyātā caṇḍogrā dhūmrabhairavī ||	īkāre śūlinī khyātā caṇḍogrā dhūmrabhairavī 
MBtantrabhidanaHK-5200	u-kāre kālakūṭā(vaktrā)khyā pracaṇḍā caṇḍavallabhā |	ukāre kālakūṭā vaktra ākhyā pracaṇḍā caṇḍavallabhā 
MBtantrabhidanaHK-5201	vidaryū-kārake proktā tā(nā)lajaṅghā kapālinī ||	        
MBtantrabhidanaHK-5202	"8	ṛ-kāre syānmahāraudrī jvālinī yoginītyapi |"	ṛkāre syāt mahāraudrī jvālinī yoginī iti api 
MBtantrabhidanaHK-5203	ṝ-kāre kālikā proktā pitṛkālī bhayaṅkarī ||	ṝkāre kālikā proktā pitṛkālī bhayaṅkarī 
MBtantrabhidanaHK-5204	saṃhāriṇī ḷ-kāre syānmeghanādograbhāṣiṇī |	saṃhāriṇī ḷkāre syāt meghanāda ugra bhāṣiṇī 
MBtantrabhidanaHK-5205	rudracaṇḍā kālarātriḥ ḹ-kāre ca karālinī ||	            
MBtantrabhidanaHK-5206	"12	ūrdhvakeśī ca cāmuṇḍā nādinye-kārake smṛtā |"	ūrdhvakeśī ca cāmuṇḍā nādinī ekārake smṛtā 
MBtantrabhidanaHK-5207	ai-kāre koṭarākṣī ca mālinyunmattabhairavī ||	aikāre koṭarākṣī ca mālinī unmattabhairavī 
MBtantrabhidanaHK-5208	jvālinyo-kāragā jñeyā bhīmākṣī caṇḍamālinī |	              
MBtantrabhidanaHK-5209	au-kāre ḍākinī siṃhanādinī caṇḍabhairavī ||	aukāre ḍākinī siṃhanādinī caṇḍabhairavī 
MBtantrabhidanaHK-5210	"16	akrūrākhyā vidārī ca aṃ-kāre rudrarā(ḍā)kiṇī |"	akrūra ākhyā vidārī ca aṃkāre rudrarāḍākiṇī 
MBtantrabhidanaHK-5211	śeṣe kapālinī yāmyā caṇḍikā kuṇḍaladvayam ||	śeṣe kapālinī yāmyā caṇḍikā kuṇḍala dvayam 
MBtantrabhidanaHK-5212	visargo nādaḥ sakalāḥ ṣaḍdaśoktāḥ svarā matāḥ ||	visargaḥ nādaḥ sakalāḥ ṣaṣ daśa uktāḥ svarāḥ matāḥ 
MBtantrabhidanaHK-5213	krodhīśo vāraṇaścaṇḍaḥ śaṅkā tūnmattabhairavaḥ |	                              
MBtantrabhidanaHK-5214	"20	jvālāmukho raktadaṃṣṭro'sitāṅgo balayāmukhaḥ ||"	         
MBtantrabhidanaHK-5215	vidyunmukho mahājvālī kapālī bhīṣaṇo guruḥ |	         
MBtantrabhidanaHK-5216	p. 31)	p 
MBtantrabhidanaHK-5217	"1	prahārī rauravo daṇḍī balito'tyugraśūladhṛk ||"	             
MBtantrabhidanaHK-5218	siṃhanādī kapardī ca pralayāgnirbhayaṅkaraḥ |	siṃhanādī kapardī ca pralayāgniḥ bhayaṅkaraḥ 
MBtantrabhidanaHK-5219	bahūrūpī mahākālaḥ sthirātmā kṣatajokṣitaḥ ||	            
MBtantrabhidanaHK-5220	"4	balabhedī raktapaṭaścaṇḍīśo jvalanadhvajaḥ |"	          
MBtantrabhidanaHK-5221	dhūmadhvajo vyomavaktrastrailokyagrasanātmakaḥ ||	             
MBtantrabhidanaHK-5222	(nayanaśrotrāsyanāsāhṛtsu nyāse daśa svarāḥ ||	nayana śrotra āsya nāsā hṛtsu nyāse daśa svarāḥ 
MBtantrabhidanaHK-5223	dhvajinīdhūmrabhairavyāvabhāve ca dṛśo smṛteḥ |	dhvajinī dhūmrabhairavyau abhāve ca dṛśoḥ smṛteḥ 
MBtantrabhidanaHK-5224	"8	mūlārṇamukhamādiṣṭaṃ hṛdayaṃ svaraśaktayaḥ ||"	mūla arṇa mukham ādiṣṭam hṛdayam svara śaktayaḥ 
MBtantrabhidanaHK-5225	ādimadhyāvasāneṣu pūrvābhāve yathottaram |) [bandhanīmadhyagataḥ pāṭhaḥ kvacinna dṛśyate]	ādi madhya avasāneṣu pūrva abhāve yathottaram bandhanī madhya gataḥ pāṭhaḥ kvacid na dṛśyate 
MBtantrabhidanaHK-5226	kaṇṭhāsyaḥ kālavaktreṇa mahākālena bhūṣitaḥ |	kaṇṭha āsyaḥ kāla vaktreṇa mahākālena bhūṣitaḥ 
MBtantrabhidanaHK-5227	tadādiḥ pañcaraśmiśca sṛṣṭisthitilayaṃ viṣam || oṃ ||	tad ādiḥ pañcaraśmiḥ ca sṛṣṭi sthiti layam viṣam om 
MBtantrabhidanaHK-5228	"12	śūlinyā sahito'gnisthaścaṇḍīśa indubindumān |"	                    
MBtantrabhidanaHK-5229	etadviṣṇupriyābījaṃ yanmānyaṃ jagataḥ priyam || śrī& ||	etat viṣṇu priyā bījam yat mānyam jagataḥ priyam  /
MBtantrabhidanaHK-5230	kṣatajastho vyomavaktraścaṇḍogrābindubhūṣitaḥ |	            
MBtantrabhidanaHK-5231	adrijā raudrī bhūteśo bījaṃ prāthamikaṃ priyam || hrī& ||	adrijā raudrī bhūteśaḥ bījam prāthamikam priyam hrī 
MBtantrabhidanaHK-5232	"16	krodhīśo raktasaṃsthaśca dhūmrabhairavyalaṅkṛtaḥ |"	krodhīśaḥ rakta saṃsthaḥ ca dhūmrabhairavī alaṅkṛtaḥ 
MBtantrabhidanaHK-5233	bindvindusaṃyuto bījaṃ drāvaṇaṃ kledanaṃ smṛtam || krī& ||	               
MBtantrabhidanaHK-5234	vyomāsyo bindusaṃyuktastālajaṅghāvibhūṣitaḥ |	vyoma āsyaḥ bindu saṃyuktaḥ tālajaṅghā vibhūṣitaḥ 
MBtantrabhidanaHK-5235	kūrcaṃ kālo mahākālaḥ krodhabījaṃ nirañjanam || hū& ||	kūrcam kālaḥ mahākālaḥ krodhabījam nirañjanam hū 
MBtantrabhidanaHK-5236	"20	unmattabhairavī rudraḍākinyā ca vibhūṣitā |"	unmatta bhairavī rudra ḍākinyā ca vibhūṣitā 
MBtantrabhidanaHK-5237	nādenā'laṅkṛtā bījaṃ vāgbhavaṃ buddhivarddhanam || ai& ||	nādena alaṅkṛtāḥ bījam vāc bhavam buddhi varddhanam 
MBtantrabhidanaHK-5238	p. 32)	p 
MBtantrabhidanaHK-5239	"1	phaḍityastraṃ prasiddhaṃ syāj | phaṭ || jvālāgnirvyāpakāṅkuśaḥ || kroṃ"	phaṭ iti astram prasiddham syāt phaṭ jvālā agniḥ vyāpaka aṅkuśaḥ kroṃ 
MBtantrabhidanaHK-5240	śiraḥ svāhā dviṭho vahnijāyā jvalanavallabhā ||	śiraḥ svāhā dviṭhaḥ vahnijāyā jvalana vallabhā 
MBtantrabhidanaHK-5241	dakṣajānudvayaṃ senduḥ devāsyaṃ vahnisundarī || svāhā ||	dakṣa jānu dvayam sa induḥ deva āsyam vahnisundarī svāhā 
MBtantrabhidanaHK-5242	"4	indrāsanagato brahmā trimūrtīnduśca manmathaḥ || klīṃ ||"	indra āsana gataḥ brahmā trimūrti induḥ ca manmathaḥ klīṃ 
MBtantrabhidanaHK-5243	garjinī-dhūmrabhairavyau dakṣavāmapayodharau |	                                                    
MBtantrabhidanaHK-5244	vyomāsyaḥ kālavaktrāḍhyo varma bindīndusaṃyutaḥ || hu& ||	               
MBtantrabhidanaHK-5245	śūnyaṃ kṣatajamārūḍhaṃ caṇḍabhairavyalaṅkṛtam |	śūnyam kṣatajam ārūḍham caṇḍabhairavī alaṅkṛtam 
MBtantrabhidanaHK-5246	"8	nādabinduyutaṃ mūrdhni jyotirmantra udāhṛtaḥ || hrau& ||"	nādabindu yutam mūrdhni jyotirmantraḥ udāhṛtaḥ   
MBtantrabhidanaHK-5247	ādidevena nirdiṣṭaṃ mantrakoṣamanuttamam |	ādidevena nirdiṣṭam mantrakoṣam anuttamam 
MBtantrabhidanaHK-5248	yadarthibhyaḥ purā guptaṃ tanmayā'dya prakāśitam ||	yad arthibhyaḥ purā guptam tat mayā adya prakāśitam 
MBtantrabhidanaHK-5249	yakṣaḍāmaratantrasya mantrakoṣavivecanam |	yakṣa ḍāmara tantrasya mantrakoṣa vivecanam 
MBtantrabhidanaHK-5250	"12	kroddhīśena tu yatproktaṃ bhairavāya mahātmane ||"	tu yat proktam bhairavāya mahātmane 
MBtantrabhidanaHK-5251	vidyuccaṇḍāśinī gaurī krośinī nāginī jayā |	          
MBtantrabhidanaHK-5252	kinnarī yoginī yakṣī bhūtinī pretinī narī ||	          
MBtantrabhidanaHK-5253	yāmi(grāsi)nī trāsinī caṇḍī kaletyevaṃ prakīrtitā |	              
MBtantrabhidanaHK-5254	"16	kālabhairavemarasarvāsu bhūtalāṅgalavarāsu ca (?) ||"	kāla bhairava imara sarvāsu bhūta lāṅgala varāsu ca 
MBtantrabhidanaHK-5255	subhagā sumukhī caṇḍī pārvatī suratapriyā |	             
MBtantrabhidanaHK-5256	urvaśī caindri(citri)ṇī līlā kaṅkālī mekhalā śacī ||	urvaśī ca aindricitriṇī līlā kaṅkālī mekhalā śacī 
MBtantrabhidanaHK-5257	māninī haṃsinī caulā kalanā bhū(dhū)minīti ca |	māninī haṃsinī caulā kalanā bhūdhūminī iti ca 
MBtantrabhidanaHK-5258	"20	ādidevena nirdiṣṭāḥ prathamādhipaśaktayaḥ ||"	ādidevena nirdiṣṭāḥ prathama adhipa śaktayaḥ 
MBtantrabhidanaHK-5259	vibhramo bāhulo daṇḍī bhairavo naṭakaḥ śukaḥ |	          
MBtantrabhidanaHK-5260	vṛkodaro jaṭo bhīṣmaḥ kṣobhakaḥ khe(kha)caro naṭaḥ ||	            
MBtantrabhidanaHK-5261	p. 33)	p 
MBtantrabhidanaHK-5262	"1	niśācaro dhvajī bhīmo vicitraḥ kauṣiko yamaḥ |"	          
MBtantrabhidanaHK-5263	liṅgī vatsādhiko bhṛṅgī maṇibhadro ghaṭotkacaḥ ||	          
MBtantrabhidanaHK-5264	mahānandī śuko daṇḍī sugrīvaḥ kalaho bhavaḥ |	           
MBtantrabhidanaHK-5265	"4	daṇḍī bhāṣāntako'jeśo (gargo) haṃsaḥ pakṣaiścaro halī ||"	               
MBtantrabhidanaHK-5266	caṇḍībījamiti khyātaṃ vidyunnāgāṅganāṃśukaiḥ |	caṇḍī bījam iti khyātam 
MBtantrabhidanaHK-5267	aurasādhike'ṃśukādyā ca dhūminyasau kinnaraḥ smṛtaḥ (?) ||	aurasa adhikā iṃśuka ādyā ca dhūminī asau kinnaraḥ smṛtaḥ 
MBtantrabhidanaHK-5268	urvaśyālaṅkṛto haṃso haṃsendumastakoddhṛtaḥ || hūṃ ||	urvaśyā alaṅkṛtaḥ haṃsaḥ haṃsa indu mastaka uddhṛtaḥ   
MBtantrabhidanaHK-5269	"8	vidyuccaṇḍā ca haṃsī ca keturnāginyalaṅkṛtā || ha (?)"	vidyuccaṇḍā ca haṃsī ca ketuḥ nāginī alaṅkṛtā ha 
MBtantrabhidanaHK-5270	ḍiṇḍibhena saraktena kāminī bindubhiḥ śaśī || śrī& ||	ḍiṇḍibhena saraktena kāminī bindubhiḥ śaśī śrī 
MBtantrabhidanaHK-5271	haṃsasugrīvapārvatyā kapardīndvādyalaṅkṛtā || hrī& ||	                 
MBtantrabhidanaHK-5272	vigrahakalahakāminīndvādiprāṇahāriṇī || krī& ||	vigraha kalaha kāminī indu ādi prāṇa hāriṇī krī 
MBtantrabhidanaHK-5273	"12	vibhramo raktapārvatyai svāhā ulkāmukhī smṛtā ||"	vibhramaḥ rakta pārvatyai svāhā ulkāmukhī smṛtā 
MBtantrabhidanaHK-5274	jvālandharīti vikhyātā sabindvindukalā naṭī || ṭhaṃ ||	jvālandharī iti vikhyātā sa bindu indukalā naṭī ṭhaṃ 
MBtantrabhidanaHK-5275	haṃsaḥ sugrīvacaṇḍādyaiḥ khadyotaiḥ parikīrtitā || hra& ||	haṃsaḥ sugrīva caṇḍa ādyaiḥ khadyotaiḥ parikīrtitā 
MBtantrabhidanaHK-5276	śyāmāliṅgitadeho'sau khadyoto jyotirīritaḥ || hrau& ||	śyāmā āliṅgita dehā usau khadyotaḥ jyotiḥ īritaḥ   
MBtantrabhidanaHK-5277	"16	yamaḥ sugrīvaḥ kāminīndrendvādyaiḥ kinnarīti ca || hru ||"	yamaḥ sugrīvaḥ kāminī indra indu ādyaiḥ kinnarī iti ca hru 
MBtantrabhidanaHK-5278	sugrīvo'pi yamaścaṇḍo nīlādyairvāṇa īritaḥ || drā& ||	sugrīvaḥ api yamaḥ caṇḍaḥ nīla ādyaiḥ vāṇaḥ īritaḥ drā 
MBtantrabhidanaHK-5279	yamaḥ sugrīvabindvīndujapādyaḥ piśitāśanaḥ || drū& ||	               
MBtantrabhidanaHK-5280	tyāginaṃ maṇibhadrasthaṃ pretinīndvādyalaṅkṛtam |	tyāginam maṇibhadra stham pretinī indu ādi alaṅkṛtam 
MBtantrabhidanaHK-5281	"20	yugāntakārakaṃ bījaṃ bhairaveṇa prakāśitam || spheṃ ||"	             
MBtantrabhidanaHK-5282	bhṛṅgiṇaṃ mekhalāyuktaṃ pretinīndvādyalaṅkṛtam |	bhṛṅgiṇam mekhalā yuktam pretinī indu ādi alaṅkṛtam 
MBtantrabhidanaHK-5283	bījaṃ vaitālikaṃ proktaṃ dviṭhenoktā manoharī || pleṃ svāhā ||	bījam vaitālikam proktam dviṭhena uktā manoharī pleṃ svāhā 
MBtantrabhidanaHK-5284	p. 34)	p 
MBtantrabhidanaHK-5285	"1	vibhramo dhūminī vidyuccaṇḍikādyastu kākinī |"	            
MBtantrabhidanaHK-5286	dhvāṅkṣabījamiti khyātaṃ sarvatantreṣu gopitam || prī& ||	dhvāṅkṣa bījam iti khyātam sarva tantreṣu gopitam 
MBtantrabhidanaHK-5287	naṭadvayena dhūminyā urdhvakeśyā hyalaṅkṛtam (?) || phre& ||	naṭa dvayena dhūminyā urdhvakeśyā hi alaṅkṛtam phre 
MBtantrabhidanaHK-5288	"4	naṭo dhavānasaṃyukto naṭītīkṣṇapayodharaiḥ (?) || ṭaṃ thaṃ ||"	naṭaḥ naṭī tīkṣṇa payodharaiḥ 
MBtantrabhidanaHK-5289	pārvatyāliṅgitaṃ maṇibhadrasthaṃ yoginīpriye |	             
MBtantrabhidanaHK-5290	phetkāriṇīti vikhyātā vidyuccaṇḍavibhūṣitāḥ || sphī& ||	            
MBtantrabhidanaHK-5291	sugrīvāsthilayaḥ śrotre hṛdyatvāvikalādṛśaḥ (?) |	               
MBtantrabhidanaHK-5292	"8	vikalāyāḥ svabhāve ca syādgaurīti ca pārvatī ||"	vikalāyāḥ svabhāve ca syāt gaurī iti ca pārvatī 
MBtantrabhidanaHK-5293	mūlārṇamāsamākhyātaṃ hṛdayaṃ svaraśaktayaḥ |	mūla arṇa māsam ākhyātam hṛdayam svara śaktayaḥ 
MBtantrabhidanaHK-5294	bhavasthityavasāneṣu vijñātavyaṃ yathottaram ||	bhava sthiti avasāneṣu vijñātavyam yathottaram 
MBtantrabhidanaHK-5295	ādidevena nirdiṣṭaṃ jambudvīpe kalau yuge |	ādidevena nirdiṣṭam jambudvīpe kalau yuge 
MBtantrabhidanaHK-5296	"12	mantrakoṣamidaṃ bhūtayakṣaḍāmaratantrayoḥ ||"	mantra koṣam idam bhūta yakṣa ḍāmara tantrayoḥ 
MBtantrabhidanaHK-5297	martyānāmupakārāya triṣu lokeṣu durlabham ||	martyānām upakārāya triṣu lokeṣu durlabham 
MBtantrabhidanaHK-5298	iti śrībhairavaviracito bījanighaṇṭumantrakoṣaḥ samāptaḥ ||	iti śrī bhairava viracitaḥ bīja nighaṇṭu mantrakoṣaḥ samāptaḥ 
MBtantrabhidanaHK-5299	atha mātṛkānighaṇṭuḥ	atha mātṛkānighaṇṭuḥ 
MBtantrabhidanaHK-5300	"1	śrīgaṇeśaṃ nṛsiṃha taṃ bhāratīmīśvaraṃ gurum |"	śrī gaṇeśam nṛsiṃha tam bhāratīm īśvaram gurum 
MBtantrabhidanaHK-5301	natvā vakṣye mātṛkāṇāṃ nighaṇṭuṃ bālabuddhaye || 1 ||	natvā vakṣye mātṛkāṇām nighaṇṭum bāla buddhaye 
MBtantrabhidanaHK-5302	dhruvastārastrivṛd brahma vedādya(di)stārako'vyayaḥ |	dhruvaḥ tāraḥ trivṛt brahma vedādyadiḥ tārakaḥ vyayaḥ 
MBtantrabhidanaHK-5303	"4	praṇavaśca trimātro'pi oṅkāro jyotirādimaḥ || 2 ||"	praṇavaḥ ca tri mātraḥ upi oṅkāraḥ jyotiḥ ādimaḥ 
MBtantrabhidanaHK-5304	śrīkaṇṭhaḥ keśavaḥ kaṇṭho nivṛttiśca svarādikaḥ |	śrīkaṇṭhaḥ keśavaḥ kaṇṭhaḥ nivṛttiḥ ca svara ādikaḥ 
MBtantrabhidanaHK-5305	a-kāro mātṛkādyaśca vāta ityapi kīrtitaḥ || 3 ||	akāraḥ mātṛkā ādyaḥ ca vātaḥ iti api kīrtitaḥ 
MBtantrabhidanaHK-5306	nārāyaṇastathā'nanto mukhavṛttaṃ gurustathā |	nārāyaṇaḥ tathā anantaḥ mukha vṛttam guruḥ tathā 
MBtantrabhidanaHK-5307	"8	viṣṇuśayyā tathā śeṣo dīrgha ā-kāra eva ca || 4 ||"	viṣṇu śayyā tathā śeṣaḥ dīrghaḥ ākāraḥ eva ca 
MBtantrabhidanaHK-5308	mādhavaḥ sūkṣmasaṃjñaśca vidyā dakṣiṇalocanam |	mādhavaḥ sūkṣma saṃjñaḥ ca vidyā dakṣiṇa locanam 
MBtantrabhidanaHK-5309	gandharvaḥ pāñcajanyaśca i-kāraśca makhāṅkuraḥ(ntakaḥ) || 5 ||	gandharvaḥ pāñcajanyaḥ ca ikāraḥ ca makha aṅkuraḥ antakaḥ 
MBtantrabhidanaHK-5310	govindaśca trimūrtīśaḥ śāntiḥ syādvāmalocanam |	govindaḥ ca trimūrti īśaḥ śāntiḥ syāt vāmalocanam 
MBtantrabhidanaHK-5311	"12	nṛsiṃhāstraṃ tathā māyā ī-kāro'pi sureśvaraḥ || 6 ||"	nṛsiṃha astram tathā māyā īkāraḥ api sureśvaraḥ 
MBtantrabhidanaHK-5312	amareśastathā viṣṇurindhikā ca gajāṅkuśaḥ |	amareśaḥ tathā viṣṇuḥ indhikā ca gajāṅkuśaḥ 
MBtantrabhidanaHK-5313	dakṣakarṇaśca vija(na)y u-kāro manmathābhidhaḥ || 7 ||	dakṣakarṇaḥ ca vijanai ukāraḥ manmatha abhidhaḥ 
MBtantrabhidanaHK-5314	arghīśo dīpikā vāmaśravaṇo madhusūdanaḥ |	          
MBtantrabhidanaHK-5315	"16	indraścāpaḥ ṣaṇmukhaśca ū-kāro rakṣaṇābhidhaḥ || 8 ||"	indraḥ ca apaḥ ṣaṇmukhaḥ ca ūkāraḥ rakṣaṇa abhidhaḥ 
MBtantrabhidanaHK-5316	recikā dakṣanāsā ca bhārabhūtistrivikramaḥ |	recikā dakṣa nāsā ca bhārabhūtiḥ trivikramaḥ 
MBtantrabhidanaHK-5317	devamātā ripughnaśca ṛ-kārastapanaḥ smṛtaḥ || 9 ||	devamātā ripughnaḥ ca ṛkāraḥ tapanaḥ smṛtaḥ   
MBtantrabhidanaHK-5318	atithīśo vāmanaśa mocikā vāmanāsikā |	mocikā vāma nāsikā 
MBtantrabhidanaHK-5319	"20	daityamātā ca daivajña ṛ-kārastripurāntakaḥ || 10 ||"	daityamātā ca daivajñaḥ ṛkāraḥ tripurāntakaḥ 
MBtantrabhidanaHK-5320	p. 36)	p 
MBtantrabhidanaHK-5321	"1	śrīdharaścāmaraḥ(parā) sthāṇurdakṣagaṇḍastriveda(deva)kaḥ |"	                
MBtantrabhidanaHK-5322	ekāṅghrirvajradaṇḍaśca vyomārddhaṃ ḷ-svaraḥ smṛtaḥ || 11 ||	eka aṅghriḥ vajra daṇḍaḥ ca vyoma arddham ḷsvaraḥ smṛtaḥ 
MBtantrabhidanaHK-5323	hṛṣīkeśo haraḥ sūkṣmo vāmagaṇḍaḥ kuveradṛk |	              
MBtantrabhidanaHK-5324	"4	arddharccau nīlacaraṇa ḹ-kāraśca trikaṇṭa(kūṭa)kaḥ || 12 ||"	arddharccau nīla caraṇaḥ ḍakāraḥ ca trikaṇṭakūṭakaḥ 
